id,gloss,text
0032,alif,ا
0033,baa,ب
0034,ta,ت
0035,tha,ث
0036,Jiim,ج
0037,Haa,ح
0038,kha,خ
0039,daal,د
0040,thal,ذ
0041,raa,ر
0042,zay,ز
0043,siin,س
0044,shiin,ش
0045,Saad,ص
0046,Daad,ض
0047,Taa,ط
0048,Zaa,ظ
0049,Ayn,ع
0050,ghayn,غ
0051,faa,ف
0052,qaaf,ق
0053,kaaf,ك
0054,laam,ل
0055,miim,م
0056,noon,ن
0057,haa,ه
0058,waaw,و
0059,yaa,ي
0060,taa marbuuTa,ة
0061,alif with hamza above,أ
0062,Waaw with hamza,ؤ
0063,Alif maqsoura with hamza,ئ
0064,hamza on line,ئـ
0065,hamza,ء
0066,alif with hamza below,إ
0068,Alif maqsoura,ى

