id,gloss,text
0001,0,0
0002,1,1
0003,2,2
0004,3,3
0005,4,4
0006,5,5
0007,6,6
0008,7,7
0009,8,8
0010,9,9
0011,10,10
0012,20,20
0013,30,30
0014,40,40
0015,50,50
0016,60,60
0017,70,70
0018,80,80
0019,90,90
0020,100,100
0021,200,200
0022,300,300
0023,400,400
0024,500,500
0025,600,600
0026,700,700
0027,800,800
0028,900,900
0029,1000,1000
0030,1000000,1000000
0031,10000000,10000000
0032,alif,ا
0033,baa,ب
0034,ta,ت
0035,tha,ث
0036,Jiim,ج
0037,Haa,ح
0038,kha,خ
0039,daal,د
0040,thal,ذ
0041,raa,ر
0042,zay,ز
0043,siin,س
0044,shiin,ش
0045,Saad,ص
0046,Daad,ض
0047,Taa,ط
0048,Zaa,ظ
0049,Ayn,ع
0050,ghayn,غ
0051,faa,ف
0052,qaaf,ق
0053,kaaf,ك
0054,laam,ل
0055,miim,م
0056,noon,ن
0057,haa,ه
0058,waaw,و
0059,yaa,ي
0060,taa marbuuTa,ة
0061,alif with hamza above,أ
0062,Waaw with hamza,ؤ
0063,Alif maqsoura with hamza,ئ
0064,hamza on line,ئـ
0065,hamza,ء
0066,alif with hamza below,إ
0067,ALif with maad,آ
0068,Alif maqsoura,ى
0069,laam Alif,لا
0078,Ins and Outs,شهيق - زفير
0080,Face,وجه
0088,heart,قلب
0089,five senses,حواس خمس
0134,sick,مريض / مرض
0159,healthy,معافى
0160,eat,يأكل
0161,drink,يشرب
0162,sleep,ينام
0163,wake up,يستيقظ
0164,hear,يسمع
0165,silence,يسكت
0166,inhale,يشم
0167,rise,يصعد
0168,descend,ينزل
0169,open,يفتح
0170,close,يقفل ( يغلق )
0171,build,يبني
0172,break,يكسر
0173,walk,يمشي
0174,love,يحب
0175,hate,يكره
0176,grill,يشوي
0177,plow,يحرث
0178,plant,يزرع
0179,irrigate,يسقي
0180,harvest,يحصد
0181,think,يفكر
0182,help,يساعد
0183,smoke,يدخن
0184,support,يدعم
0185,choose,يختار
0186,call,ينادي
0187,grow,يتنامى
0188,dye,يصبغ
0189,stand,يقف
0190,bathe,يستحم
0191,enter,يدخل
0192,family,أسرة
0193,grandmother,جدة
0194,grandfather,جد
0195,father,أب
0196,mother,أم
0197,sister,أخت
0198,brother,أخ
0199,girl,بنت
0200,baby,رضيع
0201,twin,توأم
0202,man,رجل
0203,young man,شاب
0204,young woman,شابة
0205,grandchild,حفيد
0206,wedding,زواج
0207,pregnant,حمل
0208,childbirth,ولادة
0209,uncle,عم
0210,aunt,عمة
0211,maternal uncle,خال
0212,maternal aunt,خالة
0213,nephew,ابن الأخ
0214,nephew,ابن الأخت
0215,cousin,ابن العم
0216,son,ابن
0217,daughter,ابنة
0218,people,ناس
0236,deranged,مشوش
0237,afraid,خائف
0238,happy,سعيد (مسرور)
0239,sad,حزين
0255,tired,تعب
0256,crying,بكاء
0259,light,خفيف
0260,heavy,ثقيل
0261,old,قديم
0262,envy,حسد
0263,believe,صدق
0272,intelligent,ذكي
0289,welcome,أهلا وسهلاً
0292,neighbor,جار
0294,friend,صديق
0503,I,أنا
0504,You (male),أنتَ
0505,You (female),أنتِ
0506,You (plural male),أنتم
0507,You (dual),أنتما
0508,You (plural female),أنتن
0509,He,هو
0510,She,هي
0511,They (male),هم
0512,They (dual),هما
0513,They (female),هن
0514,We,نحن


